Date,text,ctext,summary
02-Nov-14,"The author reflects on the importance of cleanliness in India after the recent Diwali festival. He urges people to change their mindset and seek opportunities to do their bit. The author also mentions his personal experience of encouraging people to buy khadi outfits and seeing a significant increase in sales. Cleanliness has become a huge public movement, and the government is taking concrete actions to remove huge garbage piles. Additionally, the campaign has had a great influence on kids, who are now picking up trash and disposing it themselves. Finally, the author expresses his satisfaction that the general public has started feeling responsible for their surroundings and will not add to the existing dirt.",02-nov-2014 my dear fellow countrymen i am with you again almost after a month a month is quite a long time lots of things keep happening in the world you all have recently celebrated the festival of diwali with great fervour and joy it is these festivals which bring happiness in our daily lives from time to time be it poor or rich people from village or from urban areas festivals hold a different significance in everyone s lives this is my first meeting after diwali so i convey my very warm wishes to you all last time we had some general conversation but then i came to some new realizations after that conversation sometimes we think leave it nothing is going to change people are indifferent they will not do anything our country is like this from my last conversation in mann ki baat to this one i would urge you all to change this mindset neither is our country is like this nor our people indifferent sometimes i feel the nation is way ahead and the government is lacking behind and from my personal experience i will say that the governments too needs to change their mindsets and i say that because i can see tremendous sense of commitment in the indian youth they are very eager to do their bit and are just seeking an opportunity where they can do their bit and they are making efforts at their own end last time i had asked them to buy at least one khadi outfit i had not asked anyone to be khadidhari but the feedback i got from khadi stores was that in a week s time the sales had jumped up by 125 in this way as compared to last year the sales this year is more than double in the week following 2nd oct this means the people of our country is many times more than we think of i salute all my fellow indians cleanliness can anyone imagine that cleanliness will become a such a huge public movement the expectations are high and they should be so i can see some good results cleanliness can now be witnessed in two parts one is those huge garbage piles which keep lying in the city well the people in the government will work to remove those it is a big challenge but you cannot run away from your responsibilities all state governments and all municipalities will now have to take concrete actions due to the rising public pressure media is playing a very positive role in this but there is the second aspect which gives me immense pleasure happiness and a sense of satisfaction that the general public has started feeling that leave what happened in the past now they will not dirty their surroundings we will not add to the existing dirt a gentleman mr bharat gupta has sent me a mail on mygov in from satna madhya pradesh he has related his personal experience during his tour of the railways he said that people eat on trains and usually litter around he continues to say that he has been touring from the past many years but it is this time around no one was littering rather they were looking for dustbins to throw their trash when they could not see any arrangements they collected all their litter in a corner he says that it was a very gratifying experience for me i thank bharat ji for sharing this experience with me what i am seeing is that this campaign has had a great influence on kids many families mention that now whenever kids eat a chocolate they themselves pick the wrapper and disposes it i was seeing a message on the social media someone had posted a picture with the title my hero of the day this picture was that of a little kid who picks up trash wherever he goes even when going to school he is himself motivated to do this just see people now feel it is their country and they will not make it dirty we will not add to the existing dirt pile and those do litter feel ashamed for someone is around to point it out to them i consider all these to be good omens another thing is that many people come to meet me who are from all the sections of the society they can be government officers from film world sports world industrialists scientists all of them whenever they interact with me in ten minutes discussion about four to five minutes the discussion is on social issues someone talks about cleanliness while some others talk about education while someone talks about social reforms some people discuss the ruining of family life i initially thought if a businessman comes he will definitely talk of things of his personal interest but i am seeing a major change they talk less about their interest and more about taking on some or the other social responsibility when i add up all these small incidents i see a larger picture and i realize that we are moving in the right direction it is true that unhealthy environment leads to diseases and sickness but where does sickness strike first it first strikes the poor household when we work towards cleanliness we make a major effort in the direction of helping the poor if the poor families are saved from diseases then they will be saved from a lot of financial problems if a person is healthy then he will work hard earn for the family and help in running the family smoothly and so this cleanliness drive is directly related to the health and welfare of my poor brethren we may not be able to do something to help the poor but even keeping the environs clean helps the poor in a big way let us view it from this perspective it will be very beneficial i receive different kinds of letters last time i had mentioned about our specially abled children whom god has given some kind of deficiencies i had expressed my feelings regarding those people i see that people who work in this field are sending me their success stories but i came to know about two things from my people in the government the people from the hrd ministry after hearing my talk felt the need to do something and the officers came together to work out an action plan this is an example of how changes are coming about in governance one they have decided that those specially abled who want to pursue technical education a thousand of them who are good will be selected for special scholarships and a plan has been made i congratulate the officials who could think in those lines another important decision is that all the kendriya vidyalaya s and all central universities will have a special infrastructure for the specially abled for example if they can t climb stairs then there will be provision for ramps to facilitate movement by wheel chair they need different kinds of toilets the hrd ministry has decided to allocate an additional lakh rupees to the kendriya vidyalays and central universities this fund will be used by these institutions to create infrastructure for the specially abled this is an auspicious beginning these things will lead us to change i had the chance to visit siachin a few days back i spent diwali with the jawans who are ready to lay down their lives for the nation when the nation was celebrating diwali i was at siachin it is because of them that we were able to celebrate diwali so i wanted to be with them i experienced the difficulties in which they spent their time there i salute all my jawans but i want to share another matter of great pride with you our jawans work in the field of security in calamities they risk their lives to save our life they also fetch medals for us in sporting events you will be glad to know that these jawans have won a gold medal in a very prestigious event in britain called cambrian patrol defeating contestants from 140 nations i offer these jawans my heartiest congratulations i also got an opportunity to meet the young and dynamic students boys and girls over tea who had won medals in sports they give me renewed energy i was seeing their zeal and enthusiasm the facilities in our country are quite less as compared to other nations but instead of complaining they were just sharing their joy and excitement for me this tea programme for these players was very inspiring and i felt really good i would like to tell you something more and that too from my heart i truly believe that people of my country trust my words and my intentions but today one more time i want to reiterate my commitment as far as black money is concerned my people please trust your prime servant for me this is the article of faith this is my commitment that the hard earned money of the poor people stashed abroad every penny of that should be brought back the ways and means to be followed can be different and this is very obvious in a democratic country but on the basis of as much i understand and as much i know i assure you that we are on the right track today nobody neither me nor the government nor you nor even the previous government knew how much money is stashed abroad everyone gives estimate calculated in his her own way i don t want to get lost in some such figures and estimates its my commitment that be it 2 rupees or 5 rupees or millions or even billions this is the hard earned money of the poor people of my country and it has to come back and i assure you that i will keep trying till the end no efforts will be spared i want your blessings to be always with me i assure you that i will do whatever and whenever something is required to be done for you i give my commitment to you i have received a letter it has been sent by sri abhishek pareekh the same sentiments were expressed to me by many mothers and sisters when i was not even the prime minister some doctor friends had also expressed their concern and i too have expressed my views on this issue a number of times in the past mr parikh has drawn my attention towards the increase of drug addiction that is fast catching up with our young generation he has asked me to discuss this topic in mann ki baat i agree with his concern and i will definitely include this topic in my next edition of mann ki baat i will discuss the topic of drugs drug addiction and drug mafia and how they are a threat to our country s youth if you have some experience any information in this regard if you have ever rescued any child from this drug addiction if you know of any ways and means to help if any government official has played a good role if you give me any such information i will convey such efforts to the public and together we will try to create an environment in each family that no child ever thinks of choosing this vice out of sheer frustration i will definitely discuss this in detail in the next edition i know i am choosing those topics which put the government in the dock but how long will we keep these things hiding how long will we brush these important concerns under the carpet some day or the other we need to take a call follow our instincts and for grand intentions tough calls are equally important i am mustering the courage to do so because your love inspires me to do so and i will continue to do such things because of your love some people told me modi ji you asked us to send you suggestions on facebook twitter or email but a large section of the social class does not have access to these facilities so what can they do your point is very valid everyone does not have this facility well then if you have something to say related to mann ki baat that you hear on the radio even in the villages then do write into me on the following address mann ki baat akashvani sansad marg new delhi even if you send some suggestions through letters they will definitely reach me and i will take them seriously as active citizens are the biggest asset for development you write one letter it indicates that you are very active when you give your opinion it means that you are concerned with national issues and this is strength of the nation i welcome you for my mann ki baat your mann ki baat sould also reach me maybe you will definitely write a letter i will try and interact with you again next month i will try that whenever i talk it is sunday around 11 am so i am getting closer to you the weather is changing winters are slowly setting in this is a good month for health some find it a good season for eating some find it good for wearing nice clothes besides food and clothes it is a good season for health don t let it go waste make the most of it thank you the original speech was in hindi this is the english rendering original speech remains the authoritative version ,i am with you again almost after a month and i want to convey my warm wishes to you all last time we had some general conversation but then i came to some new realizations after that conversation sometimes we think leave it nothing is going to change people are indifferent they will not do anything our country is like this from my last conversation in mann ki baat to this one i would urge you all to change this mindset neither is our country like this nor our people indifferent i salute all my fellow indians cleanliness can anyone imagine that cleanliness will become a such a huge public movement the expectations are high and they should be so i can see some good results
03-Oct-14,"The author expresses his greetings on the occasion of Vijay Dashami and suggests eliminating ten bad habits from within the country. He also mentions the Swachh Bharat movement and urges people to nominate nine people to clean the nation and nominate nine more to do the same. He suggests using Khaadi products to help poor people light lamps on Diwali and offers a special discount for a month. The author emphasizes the importance of identifying one's potential and strengths to progress in life. He reminds readers of a saying by Swami Vivekananda where a flock of sheep used to come and go in different ways. Once, one sheep was left behind and started running towards other sheep, which shocked the other sheep. The text ends with the author expressing gratitude to Ganesh Venkatadari for his recommendation and encouraging others to follow suit.",03-oct-2014 my dear countrymen today is the holy festival of vijay dashami my heartiest greetings on this occasion of vijay dashami to one and all through the medium of radio i would like to share few heartfelt thoughts with you today and i hope that not only today this series of conversation may be carried out regularly in future i will try my best if possible to take out time twice a month or even once to speak with you in future i have also decided that whenever i will speak to you it would be on sundays and time would be morning 11 in that way it would be convenient for you too and i will feel contented with the fact that i am successful in sharing my thoughts with you we are celebrating the festival of vijay dashami today which symbolises the triumph of good over evil but one gentleman named ganesh venkatadari a native of mumbai sent me a mail and has written to me that we must take a vow to eliminate ten bad habits from within ourselves on this occasion of vijay dashami i express my gratitude to him for this recommendation we all as individuals must be thinking to put an end to all our bad habits and win over them although with respect to our nation i believe we all should come together and take a vow in eliminating all the dirt from our country on this occasion of vijay dashami we must take a vow to eliminate dirt and filth and we can do so on this occasion yesterday on 2nd october on the eve of mahatma gandhi s birth anniversary more than 1 25 crore countrymen have started the swachh bharat movement i had shared one thought yesterday which is that i will nominate nine people and they need to upload their videos of cleaning the nation on social media websites and nominating nine more people to do the same i want you all to join me clean the nation and nominate nine more people to clean the nation and those nine people must do the same eventually the entire nation will have this atmosphere i strongly believe that you all will join hands with me to carry this movement forward whenever we think of mahatma gandhi naturally we are reminded of khaadi you may be wearing variety of clothes with different fabrics and company brands in your family but is it not possible to include khaadi too i am not telling you to use only khaadi products i am just insisting to use at least one khaadi product like handkerchief or a bath towel a bed sheet a pillow cover a curtain or anything of that kind if you have an inclination for all kinds of fabrics and clothes in your family you can also buy khaadi products on a regular basis i am saying this as when you buy khaadi products it helps poor people to light lamps on diwali also you can avail a special discount on khaadi products from 2nd october for a month it is a very small thing but has very big impact which binds you with the poor how you see this as a success when i speak of 1 25 crore countrymen and infer the outcome we might assume that government will take care of everything and as individuals we stand nowhere we have seen that if we intend to progress then we need to identify our potential understand our strengths and i can swear that we form the incomparable souls of this world you all know that our own scientists have been successful in reaching mars bearing least expenses we do not lack in our strengths but have forgotten our strong points we have forgotten ourselves we have become hopeless my dear brothers and sisters i cannot let this happen i always remember one of the sayings by swami vivekananda ji as he always used to emphasize on one thought and possibly he might have shared this thought with many others vivekananda ii used to say once a lioness was carrying her two cubs on the way and came upon a flock of sheep from a distance she got a desire to prey upon them and started running towards the flock seeing her running one of the cub too joined her the other cub was left behind and the lioness moved on post preying upon the flock one of the cub went with the lioness but the other cub was left behind and was brought up by a mother sheep he grew among the sheep started speaking their language and adapted their ways of life he used to sit laugh and enjoy with them the cub who went with the lioness was a grown up now once he happened to meet his brother and was shocked to see him he thought in his mind he is a lion and is playing with sheep talking like sheep what is wrong with him he felt that his ego was at stake and went to talk to his brother he said what are you doing brother you are a lion he gets a reply from his brother no i am a sheep i grew up with them they have brought me up listen to my voice and the way i talk he said come i will show you who you really are he took his brother to a well and told him to look in the water his own reflection and asked him if both of them had similar faces i am a lion you too are a lion his brother s self esteem got awakened he attained self realization through this and even a lion brought up among sheep started roaring like a lion his inner entity was awakened swami vivekananda ji used to say the same my countrymen 125 crore indians have indefinite strengths and capabilities we need to understand ourselves we need to identify our inner strengths and like swami ji always used to say we need to carry our self respect identify ourselves and move forward in life and be successful which in turn make our nation a winning and successful country i believe all our countrymen with a population of 125 crores are efficient strong and can stand against any odds with confidence these days i have been getting many letters through social media websites like facebook from my friends one of them mr gautam pal has addressed an issue regarding the specially abled children he has suggested forming separate municipality municipal corporation or councils for them we need to plan something for them for enhancing their moral support i liked his suggestion and i have experienced this during my day as chief minister of gujarat a special olympics was held in athens in 2011 after the olympics i had called all the participants and winners of specially abled category from gujarat to my home i spent two hours with them and it was the most emotional and inspiring incident of my life as i believe a specially abled child is not only the responsibility of the parents in a family it is the responsibility of the entire society god has chosen this family to support a specially abled child but a child is a responsibility of the entire nation after this incident i got so emotionally attached with them i started organizing separate olympics for them in gujarat thousands of children with their parents used to come and attend i too used to attend the olympics there was an atmosphere of trust and this is the reason i liked the suggestion given by mr gautam pal and i felt like sharing this thought with you it reminds me of another story once a traveller was sitting at the corner of a road and was asking everyone the way to a specific place he continued asking the route from many people a man sitting beside him was observing him the traveller stood up and started asking passers by again he stood up and said the way to your destination is here the traveller then said brother you were sitting next to me for so long saw me asking everyone the route if you knew the route why didn t you tell me before the man answered i was waiting to verify if you really intend to reach your destination or you are asking people just for your knowledge but when you stood up i was assured that you truly wish to reach your destination and decided to confirm the address my countrymen till the time we do not decide to walk stand on our own we will also not the get the guidance from others in our journey we will not get the people to hold our hand and help us in walking we need to take the initiative in walking and i trust all my 125 crore indians who are capable of walking on their own and will keep moving for the past few days i have been getting very interesting suggestions from people i am aware when to adapt to these suggestions but i want everyone to actively participate in these suggestions as we all belong to our nation the nation does not only belong to any government we are the citizens of our nation and we all need to unite without any exceptions some of you have suggested simplifying the registration process for small scale industries i will definitely put this under government s notice some of you have written to me to incorporate skills development courses in the school curriculum from 5th standard this will help the students to learn various skills and crafts i loved this effective suggestion given by them they have also suggested that even the adults should learn skills development courses along with their studies one of the suggestions given was to keep a dustbin at every 100 meters and a cleaning system should be established some of you have written to me to abolish the use of plastic bags i am receiving numerous suggestions from people i have always been telling you to write to me and narrate a true incident which is positive and inspiring to me and our countrymen along with the evidence if you do this i can promise this to you that i will share all those heartfelt thoughts or suggestions with all our countrymen through mann ki baat i have only one intention in speaking with you all come let us serve our mother india let us all take our nation to the new heights let us all take a step forward if you take one step our nation takes 125 crore steps to move forward and for this purpose on this auspicious occasion of vijay dashami we all need to defeat all of our inner evils and decide to start doing something good for the nation today is the fortunate beginning for me i will be sharing my heartfelt thoughts with one and all today i have shared all the thoughts coming directly from my heart i will meet you all next at 11 am on sundays but i trust our journey shall never end and will continue receiving love and suggestions from you after listening to my thoughts please do not hesitate in sharing your thoughts or advice to me i will appreciate that your suggestions keep coming i am glad to talk with you through this simple medium of radio which serves each and every corner of the nation i can reach the poorest homes as mine my nation s strength lies within the hut of poor within the villages my nation s strength lies with the mothers sisters and youths my nation s strength lies with the farmers nation will only progress if you believe in it i am expressing my trust towards the nation i believe in your strength hence i believe in our nation s future i would once again like to thank one and all for taking out time and listening to me thank you all the original speech was in hindi this is the english rendering original speech remains the authoritative version ,my dear countrymen today is the holy festival of vijay dashami my heartiest greetings to one and all through the medium of radio i would like to share few heartfelt thoughts with you today and i hope that not only today this series of conversation may be carried out regularly in future i have also decided that whenever i will speak to you it would be on sundays and time would be morning 11
14-Dec-14,"The content is a transcript of a speech given by a Prime Minister who is sharing his views on various topics. He talks about the importance of parents spending time with their children and discussing their spiritual progress, not just their material progress. He also discusses the issue of drug addiction and the need for everyone to work together to prevent it. The Prime Minister emphasizes the importance of having an ambition in life and staying focused on it. He also shares his joy in meeting the Blind Cricket Team, who won the world cup, and their determination and passion. Overall, the speech is about sharing concerns and joys and working together to create a responsible environment.",14-dec-2014 my dear fellow countrymen today i have this great opportunity of interacting with you again you must be wondering why a prime minister should be interacting the way i am doing it well first and foremost i am a less of your prime minister and more of a pradhan sewak serving the people since childhood i have been hearing that by sharing our intensity of pain become less while the intensity of our joys grow manifold well i think this is the guiding thought behind mann ki baat it is an opportunity for me to sometimes share my concern and sometimes my joy sharing my deepest concerns with you makes me feel light hearted and sharing my joy just doubles my happiness last time i mentioned my concern about the youth of the country it is not because you chose me as the prime minister but because i feel concerned as an individual sons and daughters of many families are caught in the trap of drugs it just does not destroy the person involved but his entire family the society and the nation at large drug is such a grave menace which destroys the most powerful individuals while serving as the chief minister of gujarat my officers with good records would often come to ask for leave initially they would hesitate to spell out the reasons however on insisting they revealed that their child had fallen into the drug trap and they now need to spend time with their kids and rehabilitate them i could see the bravest of my officers struggling to control their tears i met suffering mothers too in punjab i had the chance to meet some mothers who were very angry and yet concerned about their children who had fallen into the trap of drugs we have to work together as a society to tackle this menace i understand that the youth who fall into this drug trap are often blamed we blame these youth as being careless and irresponsible we perceive that the victims are bad but the fact is that the drugs are bad the youth are not wrong it is this addiction which is wrong let us not blame and wrong our kids let us get rid of this habit of addiction and not victimize our kids blaming the kids would push them further into addiction this is in fact a psycho socio medical issue and let us treat it as such a problem this menace needs to be handled carefully as its solution is not limited to medical intervention only the individual concerned his family friends the society the government and the legal system all have to work in tandem to tackle this menace each one of us have to contribute to get rid of this menace a few days ago i had organized a dgp level conference in assam i expressed my concern over this issue and my displeasure at the non serious attitude of the people concerned i have asked the police department to seriously discuss this issue and come out with relevant solutions i have suggested the department to launch a toll free helpline the families often feel ashamed to come out in open about the addiction problem of their children they have no one to confide in parents from any part any corner of the country can freely approach the police if their children have fallen a victim to addiction the department has taken this suggestion seriously and working towards its fulfillment the drug menace brings about the three d s these three d s are not the ones related to entertainment but i am talking about the three d s related to the three vices first d is darkness the second d is destruction and the third d is devastation drugs lead a person to a blind path of destruction there is nothing left in its trail but devastation this is a topic of great concern and demands total attention i had mentioned this topic in my last address in mann ki baat we received more than 7000 letters on our akashvani address some letters were received in the government offices we received responses on government portal mygov in online and through e mails lakhs of comments were received on twitter and facebook hence a deep rooted concern in the society s psyche has found a voice i am especially thankful to the media of our country for carrying this concern forward many channels conducted hour long programs these programs were not just meant to criticize the government they were forums for open discussion a concern and an effort to come out with workable solutions these initiatives created background for healthy discussions the government was also sensitized to its responsibilities in this direction the government can no longer remain neutral to these concerns there is a question i want to ask these youth caught in the drug trap i want to ask these youth that when for three or four hours they are in a state of intoxication they might be feeling free of all concerns free of all tensions and in a different world altogether but have you ever lent a thought to the fact that when you buy drugs where does this money go to have you ever thought about it just make a guess what if this drug money goes to the terrorists what if this money is spent by the terrorists to procure weapons and with this weapon the very same terrorist might be pumping bullets in the heart of my soldiers the soldier of my country gets martyred have you ever thought about our soldiers a soldier who is so dear to his mother the treasured son of mother india the brave son of the soil is hit by a bullet probably funded by the money spent on purchasing drugs i know and firmly believe that you too love your motherland and have tremendous respect for our soldiers then how can you support a habit which funds drug mafia and the terrorists some people feel that when a person is in despair faces failures and when he is directionless he is an easy prey to drugs but i feel that people who lack ambition do not have any set goals and targets who have a deep vacuum in their lives are the ones where drugs will have an easy access if you want to avoid drugs and save your children from this menace then foster ambition in them give them dreams to pursue and make them individuals with a desire to achieve something in life then you will see that they will not be easily distracted their aim then will be to achieve something in life have you ever followed a sportsman s life a sportsman is motivated forever in the bleak winters everyone feels like sleeping in the warmth of a quilt but a sportsman will still rise at 4 or 5 and go for his workouts why because the goal is set similarly if your child would be aimless there are chances of him her to fall prey to menace like drugs i remember the words of vivekananda these words are very apt for all the young people just keep repeating this thought over and over again take a thought make it your life ponder on it and dream about it make it an integral part of your dreams make it a part of your mind brain veins and each and every part of your body and forget everything else this thought of vivekananda is apt for every young person and that is why i say that each person should have an ambition in life having an ambition does not allow your focus on unnecessary things some take it under peer pressure because it looks cool some consider it as a style statement so sometimes the youth inadvertently fall into this serious trap due to the wrong mental perception addiction is neither cool nor a style statement in reality it is a precursor to destruction so whenever your friends boast about their drug habits do not applaud and enjoy such conversation do not be a mute spectator to such absurdities have the courage to stand against such conversations and say no have the guts to despise such a conversation reject such a conversation and have the guts to tell the person that he is wrong i would like to share some views with the parents too these days none of us have time all of us are running against time to earn our livelihood we are racing against time to improve the quality of our lives but in this blind race do we have the time to spare for our kids do we ever work for our kid s spiritual progress and discuss it with them rather we discuss only material progress how are they doing in their studies what has been their progress in exam what to eat and what not to eat where to go and where not to go majorly these topics form the core of the entire interactions do we share such a relationship that our children can bare their hearts to us i request all of you to do this if your children share a frank relationship then you can very well know what is going on in their life children do not take to bad habits suddenly it happens gradually and it also impacts the home observe the changes that are happening in your home if you observe closely then i believe that you may be successful in detecting the problem at the very beginning be aware of your child s friend circle and don t keep your conversations focused just about progress your concern should extend to their inner depths their thoughts their logic their books their friends and their mobiles how and where are they spending their time these need to be taken care of i believe that no one else can do what a parent can for their kids our ancestors have left us certain pearls of wisdom and that is why they are known as statesmen a saying goes like this paanch varsh laaw lijiye dass laaw tadan dei paanch varsh laaw lijiye dass laaw tadan dei sut hi solah varsh mein mitra sarij gani dei this means that till 5 years of age a child should grow in the loving and tender care of his parents by the time he is 10 the values of discipline should be inculcated in him sometimes we see that an intelligent mother gets angry and does not speak with her child throughout the day this is a big punishment for the child the mother punishes herself but the child too gets punished in turn the mother just has to say that i will not talk and the 10 year old will remain worried the whole day long he changes his habit and by the time he is of 16 years then the relationship should turn like a friend towards him there should be an open conversation with him this is a brilliant advice which has been passed on by our ancestors i would like to see this inculcated in our family life another thing brought to our notice is the role of the pharmacists some of the medicines lead to addiction so such medicines should not be distributed without a doctor s prescription sometimes a simple thing like a cough syrup can trigger addiction it becomes the starting point for addiction there are quite a few things that i would not like to raise from this platform but we will have to follow and accept this discipline these days many children from villages go to city for higher education and start living in a hostel or a boarding school i have heard that sometimes these avenues become the entry point of such addiction for this the education system the society and the security force will have to act as a vigilante each one will have to fulfill their roles and responsibilities the government will fulfill the responsibilities on its end we should constantly strive to fulfill our obligations i would also like to mention about the letters we have received some of them are interesting some are filled with grief and some are inspiring i cannot mention all but i would like to mention one there was a certain mr dutt he was deep into addiction he was also jailed where he had several restrictions then later his life changed he studied in jail and then his life was transformed his story is very famous he was in yerawada jail there might be many such inspiring stories many people have been victorious in their fight against addiction we too can come out of such habits and so we should definitely try we should make efforts for de addiction and rehabilitation i would ask celebrities to be a part of this initiative be it from the field of cinema sports or someone concerned with public life be it the cultural or spiritual world we should use every possible platform to create awareness there should be constant messages in public interest they will certainly have an effect those active on the social media i would request them to create a continuous online movement by joining drugsfreeindia hash tag this is more relevant because most of the addicted youth are a part of the social media if we take this drugsfreeindia hash tag movement forward then we will do a great service for public awareness and education i want to take this concern forward i would request all those who have successfully come out of this addiction to share their stories i touched this topic because like i said in the beginning grief becomes less on sharing this is a topic of national concern and i am not here to sermonize and neither am i entitled to preach i am just sharing my grief with you those families who are suffering from this menace i want to share their pain as well i want to create a responsible environment there can be difference of opinions but let us make a beginning somewhere like i mentioned before i want to share happiness last week i had the opportunity to meet the blind cricket team they had won the world cup what joy and excitement they were exuding great self confidence god has given us everything eyes hands legs i e we are totally capable yet we lack this kind of determination and passion which i could see in the blind cricketers what zeal and enthusiasm really it was contagious i felt super charged after meeting them such incidents bring great pleasure in life in the past few days there was yet another important news the cricket team from kashmir defeated mumbai on their home ground i do not view it as a matter of someone s victory and other s loss i view it differently all the stadiums in kashmir have been inundated after the floods kashmir is passing through a tough phase the circumstances have been extremely grim with these boys not standing any chance to practice but the team spirit shown by these boys their conviction and determination is awe inspiring these boys have shown us that one can overcome the most trying and testing circumstances if one remains focused on our goals this news gave me immense pleasure and i take this opportunity to congratulate all these players on their victory two days back the united nations has decided to celebrate june 21st as international yoga day it is a matter of great pride and honour for india our ancestors developed a beautiful tradition and today the entire world is associated with it it does not merely benefit one personally but it has the potential to bring all the people together globally the entire world came together on the issue of yoga in the un and a unanimous resolution was passed just two days back 177 countries became the co sponsors in the past when it was decided to celebrate the birthday mr nelson mandela 165 countries became co sponsors before that efforts were on for international toilet day and 122 nations became co sponsors to that initiative too for celebrating oct 2nd as non violence day 140 countries became co sponsors before that but 177 countries co sponsoring yoga is a world record of sorts i am thankful to all the countries that have come out in support and have honored the sentiments of the indians and decided to observe world yoga day it is now our duty that yoga reaches out to the masses in its true essence last week i had the chance to have a meeting with the chief ministers of all the states this tradition has been going on for the past 50 60 years this time it was organized at the prime minister s residence we started it as a retreat program with no papers no files and no officers it was a simple interaction where the prime minister and chief minister were all the same seated together like friends for an hour or two matters of national concern were seriously discussed in a friendly atmosphere everyone just poured their hearts out there was no political agenda involved this too was a memorable experience that i wanted to share with you last week i had the chance to travel to the north east i had been there for three days many a times youth express their desire to see the taj singapore or dubai but i would urge all the nature lovers all who want to experience the divinity in nature to take a tour of the north east i had gone earlier too this time when i went as the prime minister i tried to explore its potential our north east has tremendous potential and possibilities it s a land of beautiful people and beautiful surroundings i was filled with immense joy visiting that place sometimes people ask modi ji don t you get tired i want to say that whatever little fatigue i had well the north east took it away completely i am thoroughly rejuvenated such is the pleasure that i derived from that visit the love and respect accorded by the people there is something that will stay with me forever the kinship and affinity showed by the people of the north east touched me deeply i will also tell you it is not a joy for only modi to enjoy it is there for you to enjoy too so do travel to the north east and enjoy the next edition of mann ki baat will happen in 2015 this is probably my last program in 2014 i wish you all a merry christmas i would like to wish all the very best of new year hes in advance it gives me immense pleasure to know that this program mann ki baat is broadcast in regional languages by the local radio stations that same night at 8 pm and it is surprising to know some of the regional voice over artists also speak in the voice very similar to me i am surprised at the brilliant work being done by the artists associated at akashvani and i would like to congratulate them i consider this as an effective medium to connect to the masses we have had tremendous response seeing the response akashvani has devised a new method they have taken a new post box number so now if you wish to write into me you can write on this post box number mann ki baat post box no 111 akashvani new delhi i will be awaiting your letters you do not realize that your letters become my inspiration some suggestions penned down can do good to the entire nation i am thankful to you all we will meet next in 2015 and on some sunday morning we will again have our own mann ki baat thank you very much ,i am a less of your prime minister and more of a pradhan sewak serving the people since childhood i have been hearing that by sharing our intensity of pain become less while the intensity of joys grow manifold i think this is the guiding thought behind mann ki baat it is an opportunity for me to sometimes share my concern and sometimes my joy sharing my deepest concerns with you
